 SSTREAM(uvh/supg) 	 time=        6.00000 	 dt=0.2 	 r=1.04459e-17 	 #it= 3 	 CPUsec=0.630973 
 SSTREAM(uvh/supg) 	 time=        6.20000 	 dt=0.2 	 r=1.50019e-20 	 #it= 6 	 CPUsec=2.08545 
 SSTREAM(uvh/supg) 	 time=        6.20000 	 dt=0.2 	 r=3.08516e-21 	 #it= 4 	 CPUsec=0.89745 
 SSTREAM(uvh/supg) 	 time=        6.20000 	 dt=0.2 	 r=3.08515e-21 	 #it= 4 	 CPUsec=0.810395 
 SSTREAM(uvh/supg) 	 time=        6.20000 	 dt=0.2 	 r=3.08515e-21 	 #it= 4 	 CPUsec=0.829036 
 SSTREAM(uvh/supg) 	 time=        6.20000 	 dt=0.2 	 r=3.08515e-21 	 #it= 4 	 CPUsec=0.810514 
 SSTREAM(uvh/supg) 	 time=        6.20000 	 dt=0.2 	 r=3.08515e-21 	 #it= 4 	 CPUsec=0.849719 
 SSTREAM(uvh/supg) 	 time=        6.20000 	 dt=0.2 	 r=3.08515e-21 	 #it= 4 	 CPUsec=1.02946 
 SSTREAM(uvh/supg) 	 time=        6.40000 	 dt=0.2 	 r=1.67781e-21 	 #it= 5 	 CPUsec=1.25279 
 SSTREAM(uvh/supg) 	 time=        6.40000 	 dt=0.2 	 r=1.51383e-21 	 #it= 5 	 CPUsec=1.21113 
 SSTREAM(uvh/supg) 	 time=        6.40000 	 dt=0.2 	 r=1.51382e-21 	 #it= 5 	 CPUsec=1.20805 
 SSTREAM(uvh/supg) 	 time=        6.40000 	 dt=0.2 	 r=1.51382e-21 	 #it= 5 	 CPUsec=1.11295 
 SSTREAM(uvh/supg) 	 time=        6.40000 	 dt=0.2 	 r=1.51382e-21 	 #it= 5 	 CPUsec=1.23948 
 SSTREAM(uvh/supg) 	 time=        6.40000 	 dt=0.2 	 r=1.51382e-21 	 #it= 5 	 CPUsec=1.24512 
 SSTREAM(uvh/supg) 	 time=        6.40000 	 dt=0.2 	 r=1.51382e-21 	 #it= 5 	 CPUsec=1.24308 
 SSTREAM(uvh/supg) 	 time=        6.60000 	 dt=0.2 	 r=4.29426e-21 	 #it= 5 	 CPUsec=1.52506 
 SSTREAM(uvh/supg) 	 time=        6.60000 	 dt=0.2 	 r=3.32227e-20 	 #it= 5 	 CPUsec=1.78984 
 SSTREAM(uvh/supg) 	 time=        6.60000 	 dt=0.2 	 r=3.32224e-20 	 #it= 5 	 CPUsec=2.22265 
 SSTREAM(uvh/supg) 	 time=        6.80000 	 dt=0.2 	 r=5.09872e-17 	 #it= 5 	 CPUsec=1.82133 
 SSTREAM(uvh/supg) 	 time=        6.80000 	 dt=0.2 	 r=3.01984e-17 	 #it= 5 	 CPUsec=1.68396 
 SSTREAM(uvh/supg) 	 time=        6.80000 	 dt=0.2 	 r=3.01904e-17 	 #it= 5 	 CPUsec=1.96663 
 SSTREAM(uvh/supg) 	 time=        7.00000 	 dt=0.2 	 r=6.90667e-16 	 #it= 5 	 CPUsec=2.31297 
 SSTREAM(uvh/supg) 	 time=        7.00000 	 dt=0.2 	 r=3.10896e-18 	 #it= 7 	 CPUsec=3.98339 
 SSTREAM(uvh/supg) 	 time=        7.00000 	 dt=0.2 	 r=3.10911e-18 	 #it= 7 	 CPUsec=3.8261 
 SSTREAM(uvh/supg) 	 time=        7.00000 	 dt=0.2 	 r=3.10911e-18 	 #it= 7 	 CPUsec=2.38869 
 SSTREAM(uvh/supg) 	 time=        7.00000 	 dt=0.2 	 r=3.10911e-18 	 #it= 7 	 CPUsec=2.58031 
 SSTREAM(uvh/supg) 	 time=        7.00000 	 dt=0.2 	 r=3.10911e-18 	 #it= 7 	 CPUsec=3.22562 
 SSTREAM(uvh/supg) 	 time=        7.00000 	 dt=0.2 	 r=3.10911e-18 	 #it= 7 	 CPUsec=2.94276 
 SSTREAM(uvh/supg) 	 time=        7.20000 	 dt=0.2 	 r=6.08653e-17 	 #it= 7 	 CPUsec=2.63788 
 SSTREAM(uvh/supg) 	 time=        7.20000 	 dt=0.2 	 r=2.75782e-18 	 #it= 7 	 CPUsec=2.48433 
 SSTREAM(uvh/supg) 	 time=        7.20000 	 dt=0.2 	 r=2.74081e-18 	 #it= 7 	 CPUsec=2.7562 
 SSTREAM(uvh/supg) 	 time=        7.20000 	 dt=0.2 	 r=2.74081e-18 	 #it= 7 	 CPUsec=3.17968 
 SSTREAM(uvh/supg) 	 time=        7.20000 	 dt=0.2 	 r=2.74081e-18 	 #it= 7 	 CPUsec=2.39428 
 SSTREAM(uvh/supg) 	 time=        7.20000 	 dt=0.2 	 r=2.74081e-18 	 #it= 7 	 CPUsec=2.41805 
 SSTREAM(uvh/supg) 	 time=        7.20000 	 dt=0.2 	 r=2.74081e-18 	 #it= 7 	 CPUsec=2.58939 
 SSTREAM(uvh/supg) 	 time=        7.20000 	 dt=0.2 	 r=2.74081e-18 	 #it= 7 	 CPUsec=2.28717 
 SSTREAM(uvh/supg) 	 time=        7.20000 	 dt=0.2 	 r=2.74081e-18 	 #it= 7 	 CPUsec=2.81614 
 SSTREAM(uvh/supg) 	 time=        7.40000 	 dt=0.2 	 r=1.81274e-20 	 #it= 5 	 CPUsec=1.62628 
 SSTREAM(uvh/supg) 	 time=        7.40000 	 dt=0.2 	 r=3.59807e-20 	 #it= 5 	 CPUsec=1.64176 
 SSTREAM(uvh/supg) 	 time=        7.40000 	 dt=0.2 	 r=3.59807e-20 	 #it= 5 	 CPUsec=1.40842 
 SSTREAM(uvh/supg) 	 time=        7.60000 	 dt=0.2 	 r=2.45988e-22 	 #it= 5 	 CPUsec=1.09401 
 SSTREAM(uvh/supg) 	 time=        7.80000 	 dt=0.2 	 r=8.59873e-22 	 #it= 5 	 CPUsec=1.12347 
 SSTREAM(uvh/supg) 	 time=        7.80000 	 dt=0.2 	 r=2.68348e-21 	 #it= 5 	 CPUsec=1.16484 
 SSTREAM(uvh/supg) 	 time=        7.80000 	 dt=0.2 	 r=2.68358e-21 	 #it= 5 	 CPUsec=1.25841 
 SSTREAM(uvh/supg) 	 time=        7.80000 	 dt=0.2 	 r=2.68358e-21 	 #it= 5 	 CPUsec=1.4518 
 SSTREAM(uvh/supg) 	 time=        7.80000 	 dt=0.2 	 r=2.6836e-21 	 #it= 5 	 CPUsec=1.44064 
 SSTREAM(uvh/supg) 	 time=        7.80000 	 dt=0.2 	 r=2.68359e-21 	 #it= 5 	 CPUsec=1.42378 
 SSTREAM(uvh/supg) 	 time=        7.80000 	 dt=0.2 	 r=2.68359e-21 	 #it= 5 	 CPUsec=1.11243 
 SSTREAM(uvh/supg) 	 time=        7.80000 	 dt=0.2 	 r=2.68359e-21 	 #it= 5 	 CPUsec=1.12484 
 SSTREAM(uvh/supg) 	 time=        8.00000 	 dt=0.2 	 r=7.06274e-17 	 #it= 4 	 CPUsec=0.828345 
 SSTREAM(uvh/supg) 	 time=        8.00000 	 dt=0.2 	 r=1.4365e-18 	 #it= 4 	 CPUsec=0.831216 
 SSTREAM(uvh/supg) 	 time=        8.00000 	 dt=0.2 	 r=1.43593e-18 	 #it= 4 	 CPUsec=0.860324 
 SSTREAM(uvh/supg) 	 time=        8.20000 	 dt=0.2 	 r=9.07799e-16 	 #it= 4 	 CPUsec=0.900087 
 SSTREAM(uvh/supg) 	 time=        8.20000 	 dt=0.2 	 r=6.355e-16 	 #it= 4 	 CPUsec=0.820394 
 SSTREAM(uvh/supg) 	 time=        8.20000 	 dt=0.2 	 r=6.34247e-16 	 #it= 4 	 CPUsec=0.831814 
 SSTREAM(uvh/supg) 	 time=        8.20000 	 dt=0.2 	 r=6.34247e-16 	 #it= 4 	 CPUsec=0.823401 
 SSTREAM(uvh/supg) 	 time=        8.20000 	 dt=0.2 	 r=6.34247e-16 	 #it= 4 	 CPUsec=0.831447 
 SSTREAM(uvh/supg) 	 time=        8.20000 	 dt=0.2 	 r=6.34247e-16 	 #it= 4 	 CPUsec=0.845554 
 SSTREAM(uvh/supg) 	 time=        8.20000 	 dt=0.2 	 r=6.34247e-16 	 #it= 4 	 CPUsec=0.856496 
 SSTREAM(uvh/supg) 	 time=        8.20000 	 dt=0.2 	 r=6.34247e-16 	 #it= 4 	 CPUsec=0.837699 
 SSTREAM(uvh/supg) 	 time=        8.20000 	 dt=0.2 	 r=6.34247e-16 	 #it= 4 	 CPUsec=0.806501 
 SSTREAM(uvh/supg) 	 time=        8.20000 	 dt=0.2 	 r=6.34247e-16 	 #it= 4 	 CPUsec=0.819061 
 SSTREAM(uvh/supg) 	 time=        8.40000 	 dt=0.2 	 r=1.28727e-16 	 #it= 3 	 CPUsec=0.61408 
 SSTREAM(uvh/supg) 	 time=        8.40000 	 dt=0.2 	 r=1.70396e-16 	 #it= 3 	 CPUsec=0.616938 
 SSTREAM(uvh/supg) 	 time=        8.40000 	 dt=0.2 	 r=1.70394e-16 	 #it= 3 	 CPUsec=0.62477 
 SSTREAM(uvh/supg) 	 time=        8.40000 	 dt=0.2 	 r=1.70394e-16 	 #it= 3 	 CPUsec=0.644539 
 SSTREAM(uvh/supg) 	 time=        8.40000 	 dt=0.2 	 r=1.70394e-16 	 #it= 3 	 CPUsec=0.614225 
 SSTREAM(uvh/supg) 	 time=        8.40000 	 dt=0.2 	 r=1.70394e-16 	 #it= 3 	 CPUsec=0.624872 
