
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=1000.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 21-Feb-2017 18:36:13  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs1000k000000-Aga1k000000-Ags1000k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=32.9477 	 I=32.2746 	 R=0.673186  |grad|=0.510561 	 	 gamma=0.364433 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
11318     30.7726     30.0823    0.690341    0.367967   0.0174588      0
11319     30.7724     30.0821    0.690342    0.332777  0.00880812      1
11320     30.7718     30.0815    0.690348    0.466286   0.0463052      2
11321     30.7714      30.081    0.690348    0.334861   0.0061182      3
11322       30.77     30.0796    0.690364    0.603057    0.109617      0
11323     30.7691     30.0787    0.690362     0.33031  0.00685106      1
11324     30.7666     30.0762    0.690391    0.804411    0.203427      0
11325      30.765     30.0746    0.690387    0.345812  0.00636443      1
11326     30.7644      30.074    0.690393    0.412093   0.0344065      0
11327     30.7641     30.0737    0.690393    0.330386  0.00618827      1
11328     30.7618     30.0714    0.690419    0.775903    0.186947      0
11329     30.7615     30.0711    0.690413    0.521869   0.0116842      1
11330     30.7604       30.07    0.690415    0.329624   0.0034351      2
11331     30.7493     30.0588     0.69055     1.62497    0.944381      0
11332     30.7427     30.0521    0.690537    0.783132  0.00411514      1
11333     30.7404     30.0498    0.690539    0.330265  0.00943179      0
11334     30.7392     30.0487     0.69055    0.558989   0.0854756      1
11335     30.7386      30.048     0.69055    0.330758  0.00710993      2
11336     30.7288     30.0382     0.69067      1.4648    0.826571      0
11337     30.7226     30.0319    0.690651    0.359881  0.00705822      1
11338     30.7217      30.031    0.690656    0.414234   0.0389116      0
11339     30.7214     30.0307    0.690656     0.33139   0.0069934      1
11340     30.7154     30.0247     0.69073     1.01154    0.496362      0
11341      30.712     30.0213     0.69072    0.409967  0.00775565      1
