
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=1.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 01-Mar-2017 15:06:50  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs1k000000-Aga1k000000-Ags1k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=32.5913 	 I=31.9321 	 R=0.659139  |grad|=0.455944 	 	 gamma=0.00449344 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
 7480     32.2086     31.5472    0.661436    0.322651  0.00836949      4
 7481     32.2083     31.5469    0.661439    0.363014   0.0182529      5
 7482     32.2081     31.5466     0.66144    0.321794  0.00901449      6
 7483     32.2077     31.5463    0.661445    0.386361   0.0326775      7
 7484     32.2074      31.546    0.661445    0.316403  0.00644488      8
 7485     32.2056     31.5441    0.661471    0.701926    0.180731      0
 7486     32.2051     31.5436    0.661466    0.440486   0.0112957      1
 7487     32.2044     31.5429    0.661468    0.321936  0.00443488      2
 7488     32.2043     31.5428    0.661469    0.325632  0.00904923      3
 7489      32.204     31.5425    0.661471    0.365188   0.0222692      4
 7490     32.2038     31.5423    0.661472    0.324611   0.0105903      5
 7491     32.2035      31.542    0.661474    0.344526   0.0161644      6
 7492     32.2033     31.5419    0.661475    0.315978  0.00855743      7
 7493      32.201     31.5395    0.661509     0.78598    0.238849      8
 7494     32.1994     31.5378    0.661506    0.350801  0.00599402      9
 7495      32.199     31.5375    0.661508     0.34043   0.0178676      0
 7496     32.1988     31.5373    0.661509    0.320746   0.0092507      1
 7497     32.1983     31.5368    0.661516    0.427353   0.0503097      2
 7498     32.1979     31.5364    0.661516    0.316227  0.00676507      3
 7499     32.1958     31.5342    0.661546    0.743455    0.207656      0
 7500     32.1944     31.5328    0.661542    0.324221  0.00675377      1
 7501     32.1937     31.5322     0.66155    0.438111   0.0543183      0
 7502     32.1933     31.5318     0.66155    0.315828  0.00689581      1
 7503     32.1895     31.5279    0.661605    0.972936     0.38427      0
 7504     32.1869     31.5253    0.661599      0.3696  0.00600423      1
 7505     32.1865     31.5249    0.661601     0.33016    0.014427      0
 7506     32.1863     31.5247    0.661602    0.337694    0.013486      1
 7507     32.1861     31.5245    0.661604    0.330863   0.0137988      2
 7508     32.1859     31.5243    0.661606    0.342816   0.0152599      3
 7509     32.1857     31.5241    0.661607      0.3257   0.0119527      4
 7510     32.1854     31.5238    0.661609     0.35053   0.0182301      5
 7511     32.1852     31.5236    0.661611    0.317512  0.00939666      6
 7512     32.1845     31.5229    0.661619    0.474118   0.0633981      7
 7513     32.1841     31.5225    0.661619    0.316461  0.00714915      8
 7514     32.1717     31.5099    0.661803     1.69086     1.27883      0
 7515     32.1634     31.5016    0.661784     0.63186  0.00499544      1
 7516     32.1619     31.5001    0.661785    0.319198  0.00961681      0
 7517     32.1615     31.4997    0.661789    0.387602   0.0319551      1
 7518     32.1612     31.4994    0.661789    0.316383  0.00643549      2
 7519     32.1596     31.4978     0.66181    0.620523    0.145804      0
 7520     32.1588      31.497    0.661807    0.330034  0.00911276      1
 7521     32.1586     31.4968    0.661809    0.344137   0.0101972      2
 7522     32.1584     31.4966     0.66181    0.319725  0.00911398      3
 7523      32.158     31.4962    0.661814    0.393653   0.0330382      4
 7524     32.1578     31.4959    0.661815     0.31837  0.00631044      5
 7525     32.1558      31.494    0.661842    0.694623    0.190468      0
 7526     32.1554     31.4935    0.661837    0.493235   0.0119043      1
 7527     32.1546     31.4928    0.661838    0.318507  0.00315388      2
 7528     32.1528     31.4909    0.661864    0.674765    0.178007      0
 7529     32.1521     31.4903    0.661859    0.437651   0.0111255      1
 7530     32.1516     31.4897    0.661861    0.318442  0.00429088      2
 7531     32.1514     31.4895    0.661863    0.348772   0.0155544      3
 7532     32.1512     31.4893    0.661864    0.325041   0.0121415      4
 7533     32.1509      31.489    0.661866    0.351755   0.0185101      5
 7534     32.1507     31.4888    0.661867    0.317711   0.0094943      6
 7535     32.1501     31.4882    0.661874    0.450672   0.0547469      7
 7536     32.1497     31.4878    0.661874    0.317435  0.00685334      8
 7537     32.1465     31.4845    0.661921    0.883086    0.329148      0
 7538     32.1443     31.4824    0.661917    0.404444  0.00514294      1
 7539     32.1438     31.4819    0.661918    0.327107   0.0115845      0
 7540     32.1436     31.4817     0.66192     0.33748   0.0152179      1
 7541     32.1434     31.4814    0.661921    0.334585    0.013107      2
 7542     32.1432     31.4812    0.661923     0.33277   0.0144169      3
 7543     32.1429      31.481    0.661925    0.339416   0.0143892      4
 7544     32.1427     31.4808    0.661926    0.327869   0.0127627      5
